W,H,rP,cv_final,log1p_cv,otsu,percentil,mad,kmeans,gmm,probabilidade_alta_gmm
3,0.50,0.1,0.02733266901,0.02696580158,baixa,baixa,baixa,baixa,baixa,0.02671535307
3,0.50,0.11,0.04212085845,0.0412579236,baixa,baixa,baixa,baixa,baixa,0.02321938814
3,0.50,0.12,0.03750847116,0.03682213807,baixa,baixa,baixa,baixa,baixa,0.02391093563
3,0.50,0.14,0.05159894287,0.05031180861,baixa,baixa,baixa,baixa,baixa,0.02275664409
3,0.50,0.16,0.05774441012,0.05613872591,baixa,baixa,baixa,baixa,baixa,0.02310765504
3,0.50,0.17,0.05932930383,0.05763597563,baixa,baixa,baixa,baixa,baixa,0.02328174346
3,0.50,0.18,0.05245873749,0.05112908152,baixa,baixa,baixa,baixa,baixa,0.02277514158
3,0.50,0.2,0.05678818458,0.05523429379,baixa,baixa,baixa,baixa,baixa,0.02301940235
3,0.50,0.22,0.07135645552,0.06892556104,baixa,baixa,baixa,baixa,baixa,0.0258203446
3,0.50,0.25,0.06708423273,0.06492991271,baixa,baixa,baixa,baixa,baixa,0.02465755477
3,0.50,0.3,0.103482041,0.09847067199,baixa,baixa,baixa,baixa,baixa,0.04972247386
3,0.50,0.35,0.0823786095,0.07916103557,baixa,baixa,baixa,baixa,baixa,0.03045005331
3,0.50,0.38,0.1312497603,0.1233230041,baixa,baixa,baixa,baixa,incerta,0.1270618645
3,0.50,0.385,0.1058290289,0.1005953061,baixa,baixa,baixa,baixa,baixa,0.05320448735
3,0.50,0.395,0.1092470656,0.1036814659,baixa,baixa,baixa,baixa,baixa,0.05897113443
3,0.50,0.4,0.5684375822,0.4500799533,alta,baixa,alta,alta,alta,1
3,0.50,0.41,0.09899770529,0.09439858742,baixa,baixa,baixa,baixa,baixa,0.04399691649
3,0.50,0.415,0.5677091585,0.4496154191,alta,baixa,alta,alta,alta,1
3,0.50,0.42,0.922998554,0.6538857146,alta,baixa,alta,alta,alta,1
3,0.50,0.43,0.9195967111,0.6521151177,alta,baixa,alta,alta,alta,1
3,0.50,0.435,0.5683644298,0.4500333119,alta,baixa,alta,alta,alta,1
3,0.50,0.44,0.9187252212,0.6516610182,alta,baixa,alta,alta,alta,1
3,0.50,0.45,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.50,0.455,0.09370571697,0.08957167053,baixa,baixa,baixa,baixa,baixa,0.03855145572
3,0.50,0.46,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.50,0.47,0.5714301061,0.4519861004,alta,baixa,alta,alta,alta,1
3,0.50,0.48,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.50,0.49,1.375533422,0.8652220109,alta,alta,alta,alta,alta,1
3,0.50,0.5,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.99,0.01,0.0107464041,0.01068907188,baixa,baixa,baixa,baixa,baixa,0.03676890838
3,0.99,0.03,0.04476336605,0.0437904158,baixa,baixa,baixa,baixa,baixa,0.02296508709
3,0.99,0.032,0.06046741429,0.05870976781,baixa,baixa,baixa,baixa,baixa,0.02342844609
3,0.99,0.035,0.04839628353,0.04726164756,baixa,baixa,baixa,baixa,baixa,0.02277515988
3,0.99,0.037,0.05673675967,0.05518563109,baixa,baixa,baixa,baixa,baixa,0.02301501119
3,0.99,0.04,0.05285817791,0.05150854023,baixa,baixa,baixa,baixa,baixa,0.02278710811
3,0.99,0.042,0.0415487647,0.04070880223,baixa,baixa,baixa,baixa,baixa,0.02328772666
3,0.99,0.045,0.0462948728,0.04525523108,baixa,baixa,baixa,baixa,baixa,0.02286283827
3,0.99,0.047,0.04967746708,0.04848294278,baixa,baixa,baixa,baixa,baixa,0.02275117152
3,0.99,0.05,0.05521329679,0.05374292354,baixa,baixa,baixa,baixa,baixa,0.0229012531
3,0.99,0.052,0.05998137006,0.05825133256,baixa,baixa,baixa,baixa,baixa,0.02336355666
3,0.99,0.055,0.04964340842,0.04845049546,baixa,baixa,baixa,baixa,baixa,0.02275152239
3,0.99,0.057,0.05246431212,0.05113437828,baixa,baixa,baixa,baixa,baixa,0.02277529386
3,0.99,0.06,0.04419758109,0.04324872548,baixa,baixa,baixa,baixa,baixa,0.02301116213
3,0.99,0.065,0.04932318925,0.04814537467,baixa,baixa,baixa,baixa,baixa,0.02275558627
3,0.99,0.07,0.03410511405,0.03353642861,baixa,baixa,baixa,baixa,baixa,0.02463867786
3,0.99,0.075,0.04476695337,0.04379384942,baixa,baixa,baixa,baixa,baixa,0.02296480933
3,0.99,0.08,0.05365592909,0.05226595384,baixa,baixa,baixa,baixa,baixa,0.02281741619
3,0.99,0.1,0.07352426786,0.07094694438,baixa,baixa,baixa,baixa,baixa,0.02653336365
3,0.99,0.11,0.06545300442,0.06340006498,baixa,baixa,baixa,baixa,baixa,0.0242927453
3,0.99,0.12,0.06514274527,0.06310882329,baixa,baixa,baixa,baixa,baixa,0.0242280768
3,0.99,0.14,0.06517851284,0.06314240281,baixa,baixa,baixa,baixa,baixa,0.0242354561
3,0.99,0.16,0.06765402885,0.06546374503,baixa,baixa,baixa,baixa,baixa,0.02479499074
3,0.99,0.17,0.0790841889,0.07611270817,baixa,baixa,baixa,baixa,baixa,0.02878789865
3,0.99,0.18,0.08570576641,0.08223025147,baixa,baixa,baixa,baixa,baixa,0.03241322521
3,0.99,0.2,0.08117814624,0.07805132271,baixa,baixa,baixa,baixa,baixa,0.02981370253
3,0.99,0.22,0.06053377542,0.0587723431,baixa,baixa,baixa,baixa,baixa,0.02343756591
3,0.99,0.25,0.06413268872,0.06216009059,baixa,baixa,baixa,baixa,baixa,0.02402777982
3,0.99,0.3,0.1072071325,0.1018407478,baixa,baixa,baixa,baixa,baixa,0.0554246226
3,0.99,0.35,0.08729637025,0.0836942207,baixa,baixa,baixa,baixa,baixa,0.03346373746
3,0.99,0.38,0.08994318895,0.08612557465,baixa,baixa,baixa,baixa,baixa,0.03538912291
3,0.99,0.385,0.09768431053,0.09320278857,baixa,baixa,baixa,baixa,baixa,0.04252410453
3,0.99,0.395,0.1232613665,0.1162363882,baixa,baixa,baixa,baixa,baixa,0.09441094833
3,0.99,0.4,0.1381118543,0.1293706211,baixa,baixa,baixa,baixa,incerta,0.165773163
3,0.99,0.41,0.1053833621,0.1001922088,baixa,baixa,baixa,baixa,baixa,0.05251510876
3,0.99,0.415,0.5722220677,0.4524899484,alta,baixa,alta,alta,alta,1
3,0.99,0.42,0.09125856815,0.08733167983,baixa,baixa,baixa,baixa,baixa,0.03643476787
3,0.99,0.43,0.569457148,0.450729794,alta,baixa,alta,alta,alta,1
3,0.99,0.435,0.1222477765,0.1153336174,baixa,baixa,baixa,baixa,baixa,0.09103706136
3,0.99,0.44,0.5758814742,0.4548147819,alta,baixa,alta,alta,alta,1
3,0.99,0.45,1.373813133,0.8644975793,alta,alta,alta,alta,alta,1
3,0.99,0.455,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.99,0.46,1.371551046,0.8635441908,alta,alta,alta,alta,alta,1
3,0.99,0.47,1.371534019,0.863537011,alta,alta,alta,alta,alta,1
3,0.99,0.48,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.99,0.49,1.376021787,0.8654275709,alta,alta,alta,alta,alta,1
3,0.99,0.5,1.371102432,0.8633550082,alta,alta,alta,alta,alta,1
4,0.01,0.01,0.03333098215,0.03278754748,baixa,baixa,baixa,baixa,baixa,0.02483193902
4,0.01,0.03,0.03254236802,0.03202407942,baixa,baixa,baixa,baixa,baixa,0.02503988693
4,0.01,0.032,0.03421124354,0.03363905265,baixa,baixa,baixa,baixa,baixa,0.02461300836
